time,Date,S,E,I,R
194,2020-08-03,7895633578.109827,90600.89017291831,1072995.0,3202826.0
195,2020-08-04,7895495251.002875,156144.9971251155,1074168.0,3274436.0
196,2020-08-05,7895285438.387835,292408.61216531746,1101820.0,3320333.0
197,2020-08-06,7895254962.883346,250974.116654227,1120658.0,3373405.0
198,2020-08-07,7895216999.916417,221480.08358287672,1133245.0,3428275.0
199,2020-08-08,7895217619.361621,158822.63837863004,1133299.0,3490259.0
200,2020-08-09,7895215211.755858,125179.2441411054,1126806.0,3532803.0
201,2020-08-10,7895128192.0836935,167661.91630635038,1128755.0,3575391.0
202,2020-08-11,7895228304.0,0.0,1055256.0,3716440.0
203,2020-08-12,7895006029.717529,149623.2824708503,1055643.0,3788704.0
204,2020-08-13,7894676026.877487,401548.12251264026,1105033.0,3817392.0
205,2020-08-14,7895010972.0,0.0,1059902.0,3929126.0
206,2020-08-15,7894647411.814883,310782.18511630833,1091517.0,3950289.0
207,2020-08-16,7894813527.836518,107995.16348189792,1082818.0,3995659.0
208,2020-08-17,7894841327.590042,43413.409957728705,1061791.0,4053468.0
209,2020-08-18,7894678737.965145,139754.03485524838,1060080.0,4121428.0
210,2020-08-19,7894612222.75234,141226.24765991356,1058702.0,4187849.0
211,2020-08-20,7894542000.738503,150578.26149631807,1059181.0,4248240.0
212,2020-08-21,7894382877.400492,259220.59950852272,1080784.0,4277118.0
213,2020-08-22,7894491542.002115,88359.99788489514,1068557.0,4351541.0
214,2020-08-23,7894471294.005115,73922.99488561516,1053854.0,4400929.0
215,2020-08-24,7894373829.423125,130265.57687428454,1050513.0,4445392.0
216,2020-08-25,7894354158.813805,86741.1861958133,1038795.0,4520305.0
217,2020-08-26,7894223715.574567,149638.42543361484,1039633.0,4587013.0
218,2020-08-27,7894150990.464655,160919.53534505013,1042643.0,4645447.0
219,2020-08-28,7894039307.009153,207974.99084666884,1054726.0,4697992.0
220,2020-08-29,7894067473.777393,124533.2226063931,1050246.0,4757747.0
221,2020-08-30,7894130558.912858,32560.08714152349,1027994.0,4808887.0
222,2020-08-31,7893848072.118765,247599.88123514125,1048185.0,4856143.0
223,2020-09-01,7894033260.0,0.0,1014282.0,4952458.0
224,2020-09-02,7893793869.9626255,173435.03737443214,1020417.0,5012278.0
225,2020-09-03,7893719673.195465,179710.80453499962,1027606.0,5073010.0
226,2020-09-04,7893671648.777294,168396.22270629456,1032398.0,5127557.0
227,2020-09-05,7893644505.21426,143207.78573990485,1032159.0,5180128.0
228,2020-09-06,7893677565.345186,80986.65481389544,1019821.0,5221627.0
229,2020-09-07,7893685556.434783,46123.56521711421,1001036.0,5267284.0
230,2020-09-08,7893567929.250431,123816.74956916981,997878.0,5310376.0
231,2020-09-09,7893535710.651047,98040.34895329707,989791.0,5376458.0
232,2020-09-10,7893443955.52172,127311.47827966338,987619.0,5441114.0
233,2020-09-11,7893341692.336409,166687.66359150485,993167.0,5498453.0
234,2020-09-12,7893295019.614336,162303.38566378455,997711.0,5544966.0
235,2020-09-13,7893210181.083434,214733.9165658095,1012332.0,5562753.0
236,2020-09-14,7893369472.8366585,15403.163341547934,987774.0,5627350.0
237,2020-09-15,7893221501.910359,107991.08964068626,981898.0,5688609.0
238,2020-09-16,7893105693.875988,165404.12401177193,987352.0,5741550.0
239,2020-09-17,7892997841.179689,212996.8203107934,1001917.0,5787245.0
240,2020-09-18,7892911593.156935,237089.84306495404,1020773.0,5830544.0
241,2020-09-19,7893007178.102869,92993.89713085747,1011081.0,5888747.0
242,2020-09-20,7892981382.456237,85634.54376268903,1000221.0,5932762.0
243,2020-09-21,7893002508.825961,28455.174038729074,978532.0,5990504.0
244,2020-09-22,7892761037.064839,213638.93516089802,993462.0,6031862.0
245,2020-09-23,7892736339.931594,182015.06840628825,1001833.0,6079812.0
246,2020-09-24,7892822052.234935,39006.76506507694,982153.0,6156788.0
247,2020-09-25,7892599710.141159,203870.85884074785,995084.0,6201335.0
248,2020-09-26,7892595564.530078,161024.469921884,999327.0,6244084.0
249,2020-09-27,7892597173.429045,126954.57095560509,996826.0,6279046.0
250,2020-09-28,7892561194.570667,123546.42933241451,993730.0,6321529.0
251,2020-09-29,7892491092.719589,136302.28041113188,993200.0,6379405.0
252,2020-09-30,7892412679.87223,155626.12777083158,996444.0,6435250.0
253,2020-10-01,7892278798.079855,227277.92014488383,1013540.0,6480384.0
254,2020-10-02,7892088487.896763,356029.1032374492,1055220.0,6500263.0
255,2020-10-03,7892397259.0,0.0,1022075.0,6580666.0
256,2020-10-04,7892247527.545254,121810.45474590552,1017954.0,6612708.0
257,2020-10-05,7892136881.343146,182835.65685338955,1025818.0,6654465.0
258,2020-10-06,7892084362.09985,176405.9001501584,1032217.0,6707015.0
259,2020-10-07,7891975245.884506,223591.11549423158,1047622.0,6753541.0
260,2020-10-08,7891959795.434463,179096.56553724612,1053951.0,6807157.0
261,2020-10-09,7891808512.437342,270269.5626580919,1077846.0,6843372.0
262,2020-10-10,7891687896.234215,335157.7657854246,1113715.0,6863231.0
263,2020-10-11,7891854906.049402,128889.95059735225,1108477.0,6907727.0
264,2020-10-12,7891722692.592961,228868.40703873584,1122833.0,6925606.0
265,2020-10-13,7891609181.454217,295819.5457827722,1149824.0,6945175.0
266,2020-10-14,7891454877.7009325,386285.2990670966,1193681.0,6965156.0
267,2020-10-15,7891354606.465434,414702.5345660628,1241873.0,6988818.0
268,2020-10-16,7891278929.237553,419717.7624470084,1289729.0,7011624.0
269,2020-10-17,7891267651.733784,372233.2662161801,1327044.0,7033071.0
270,2020-10-18,7891281684.387834,313338.6121663341,1351885.0,7053092.0
271,2020-10-19,7891128966.74896,414256.25104040495,1395684.0,7061093.0
272,2020-10-20,7891139932.732084,339425.2679161313,1423732.0,7096910.0
273,2020-10-21,7890927331.327748,478415.6722512251,1478058.0,7116195.0
274,2020-10-22,7890859799.666,470154.333999379,1529298.0,7140748.0
275,2020-10-23,7890742141.907858,505248.09214249224,1585971.0,7166639.0
276,2020-10-24,7890727781.076694,447416.92330656794,1629850.0,7194952.0
277,2020-10-25,7890741329.404908,380990.5950920247,1659611.0,7218069.0
278,2020-10-26,7890654493.387392,406181.6126076084,1693463.0,7245862.0
279,2020-10-27,7890984557.0,0.0,1358688.0,7656755.0
280,2020-10-28,7890558782.751159,341959.24884094653,1388236.0,7711022.0
281,2020-10-29,7890389230.275502,424846.7244974583,1433106.0,7752817.0
282,2020-10-30,7890378376.172969,353958.827030921,1462963.0,7804702.0
283,2020-10-31,7890373401.373597,297505.62640315766,1481024.0,7848069.0
284,2020-11-01,7890373180.309994,248607.69000665352,1489080.0,7889132.0
285,2020-11-02,7890375018.9021,203640.09790059738,1488168.0,7933173.0
286,2020-11-03,7890265075.412407,257815.58759331654,1497821.0,7979288.0
287,2020-11-04,7890058281.879265,389113.1207348418,1532756.0,8019849.0
